LocalTime	PowerMW	PowerMW1	PowerMW2
1/2/06 12:45	64.9	58.7	64
1/2/06 12:50	64.5	58.1	63.2
1/2/06 12:55	63.6	58.2	62.3
1/2/06 13:00	63.2	58.3	61.7
1/2/06 13:05	62.9	58.7	61.3
1/2/06 13:10	62.5	58.9	61
1/2/06 13:15	62	58.6	59.6
1/2/06 13:20	61.5	58.2	57.8
1/2/06 13:25	61.3	57.9	57.6
1/2/06 13:30	60.8	57.7	57
1/2/06 13:35	60.4	57.4	56.9
1/2/06 13:40	60.3	58.2	56.5
1/2/06 13:45	60.1	58.3	55.8
1/2/06 13:50	59.9	58	55.1
1/2/06 13:55	59.6	57.6	54.8
1/2/06 14:00	59.3	57.1	54.1
1/2/06 14:05	59.3	56.7	53.2
1/2/06 14:10	58.6	55.6	52.7
1/2/06 14:15	57.8	54.1	51.8
1/2/06 14:20	56.8	53.2	51.2
1/2/06 14:25	55.2	52.5	50.6
1/2/06 14:30	54.2	52.2	49.8
1/2/06 14:35	53.3	51.4	48.8
1/2/06 14:40	52.2	50.9	48.1
1/2/06 14:45	51.2	50.3	47.3
1/2/06 14:50	50.2	49.6	46.3
1/2/06 14:55	49.6	48.5	45.4
1/2/06 15:00	48.9	46.9	44.4
1/2/06 15:05	48	45.6	43.3
1/2/06 15:10	47	44.5	42.1
1/2/06 15:15	45.6	43.1	40.4
1/2/06 15:20	44.5	41.9	39.4
1/2/06 15:25	43.2	40.9	38.2
1/2/06 15:30	41.8	39.6	36.9
1/2/06 15:35	39.8	38.1	35.8
1/2/06 15:40	37.9	36.6	34.6
1/2/06 15:45	36.3	34.5	33.1
1/2/06 15:50	34.6	32.7	31.7
1/2/06 15:55	33	30.9	30.1
1/2/06 16:00	31	28.7	29
1/2/06 16:05	28.9	26.7	27.6
1/2/06 16:10	26.9	24.8	25.6
1/2/06 16:15	24.9	22.8	23.4
1/2/06 16:20	22.8	20.7	21.2
1/2/06 16:25	20.7	18.6	19.2
1/2/06 16:30	18.5	16.7	17.3
1/2/06 16:35	16.3	14.8	15.8
1/2/06 16:40	14.1	13	13.8
1/2/06 16:45	11.9	11.1	11.8
1/2/06 16:50	9.9	8.2	9.7
1/2/06 16:55	4.6	3	4.1
1/2/06 17:00	1	0.7	1
1/2/06 17:05	0	0	0.1
1/2/06 17:10	0	0	0
1/2/06 17:15	0	0	0
